"教材ID","分野","分野ID","教材名","教材種別","学習順序","総Unit数","単位名称","目安時間(h/Unit)","前提教材ID","推奨ペース(週)","周回タイプ","推奨周回数","2周目時短係数","ミニ模試の点数","備考","imageUrl","driveUrl"
"VOC_01","語彙","vocabulary","FAST-UP英単語 CORE1200","Main","1","12","Unit","1","","7","Must","3","0.75","90","1Unit100で構成(Uni1 = 1~100)","core_voc.jpg","https://fast-up-fast-up-vocabulary-538206186523.us-west1.run.app/"
"VOC_02","語彙","vocabulary","FAST-UP英単語 ADVANCE800","Main","3","8","Unit","1","VOC_01","7","Must","4","0.75","80","1Unit100で構成(Uni1 = 1~100)","advance_voc.jpg","https://fast-up-fast-up-vocabulary-538206186523.us-west1.run.app/"
"VOC_03","語彙","vocabulary","FAST-UP英単語 TOP-LEVEL500","Main","5","5","Unit","1","VOC_02","7","Must","5","0.75","80","1Unit100で構成(Uni1 = 1~100)","top_voc.jpg","https://fast-up-fast-up-vocabulary-538206186523.us-west1.run.app/"
"VOC_SUB_01","語彙","vocabulary","【演習編】FAST-UP語彙 - 4択問題：CORE200","Sub","2","10","Set","1","VOC_01","4","Conditional","2","0.5","90","","",""
"VOC_SUB_02","語彙","vocabulary","【演習編】FAST-UP語彙 - 4択問題：ADVANCE120","Sub","4","6","Set","1","VOC_02","4","Conditional","2","0.5","80","","",""
"VOC_SUB_03","語彙","vocabulary","【演習編】FAST-UP語彙 - 4択問題：TOP-LEVEL80","Sub","6","4","Set","1","VOC_03","4","Conditional","2","0.5","80","","",""
"GRAM_01","文法","grammer","FAST-UP英文法 CORE","Main","1","12","Chapter","1.5","","7","Must","2","0.75","90","","core_gram.jpg","https://docs.google.com/document/d/1HAUBMDLV8_Dd1wMoObSePrPbvcetqVZ85M5TjmhmeiU/edit?tab=t.0"
"GRAM_02","文法","grammer","FAST-UP英文法 ADVANCE","Main","3","9","Chapter","1.5","GRAM_01","7","Must","2","0.75","80","","advance_gram.jpg",""
"GRAM_03","文法","grammer","FAST-UP英文法 TOP-LEVEL","Main","5","8","Chapter","1.5","GRAM_02","7","Must","2","0.75","80","","top_gram.jpg",""
"GRAM_SUB_01","文法","grammer","【演習編】FAST-UP英文法 - 4択問題：CORE200","Sub","2","10","Set","1.5","GRAM_01","4","Conditional","1","0.5","90","","",""
"GRAM_SUB_02","文法","grammer","【演習編】FAST-UP英文法 - 4択問題：ADVANCE120","Sub","4","6","Set","1.5","GRAM_02","4","Conditional","1","0.5","80","","",""
"GRAM_SUB_03","文法","grammer","【演習編】FAST-UP英文法 - 4択問題：TOP-LEVEL80","Sub","6","4","Set","1.5","GRAM_03","4","Conditional","1","0.5","80","","",""
"READ_01","英文解釈","interpre","FAST-UP英文解釈：CORE","Main","1","7","Chapter","2","","7","Must","2","0.75","90","","core_int.jpg","https://docs.google.com/document/d/1cq0O1_4SALl6OroLvtWH4Y_sFIhki1BLkT23WXQPlpY/edit?tab=t.0#heading=h.qfz96vpauslf"
"READ_02","英文解釈","interpre","FAST-UP英文解釈：ADVANCE","Main","3","6","Chapter","2","READ_01","7","Must","2","0.75","80","","advance_int.jpg","https://docs.google.com/document/d/1nW8sQrz5Z9QDkrjQSt5CLYy-nar6I8Jp1ks0KwD8vAg/edit?tab=t.0#heading=h.qfz96vpauslf"
"READ_03","英文解釈","interpre","FAST-UP英文解釈：TOP-LEVEL","Main","5","6","Chapter","2","READ_02","7","Must","2","0.75","80","","top_int.jpg","https://docs.google.com/document/d/1yUIn06RrxeO7iFUgRDwe6bTXnryUdqaNOg731tZvacc/edit?tab=t.0#heading=h.qfz96vpauslf"
"READ_SUB_01","英文解釈","interpre","【演習編】FAST-UP英文和訳：CORE400","Sub","2","10","Set","2","READ_01","5","Conditional","1","0.5","90","","core_exe_tra_jap.jpg","https://docs.google.com/document/d/1oAsMfUu9ZX4_FH4vtrtDQwZ0Ca7mXdAI3x80kYFT9zQ/edit?tab=t.e2oxq9kj043x#heading=h.qfz96vpauslf"
